RSPB,County,Species,Mean 2020,Rank 2020,% Gardens 2020,Mean 2019,Rank 2019,% Gardens 2019,% Change,Rank Change,% change in % gardens recorded
ESRO,Aberdeenshire,Long_tailed_tit,1.2,10,19.6,0.7,17,13.0,74.3,7,50.8
ESRO,Aberdeenshire,Coal_tit,1.1,11,48.2,1.6,9,57.4,-30.2,-2,-16.0
ESRO,Aberdeenshire,Dunnock,0.9,12,47.7,1.1,12,52.9,-13.7,0,-9.9
ESRO,Aberdeenshire,Collared_dove,0.9,13,33.6,0.9,15,36.3,1.3,2,-7.5
ESRO,Aberdeenshire,Carrion_crow,0.9,14,31.3,1.1,11,39.7,-18.3,-3,-21.0
ESRO,Aberdeenshire,Jackdaw,0.9,15,21.0,0.8,16,23.2,12.8,1,-9.5
ESRO,Aberdeenshire,Greenfinch,0.7,16,23.6,0.9,13,30.4,-26.2,-3,-22.4
ESRO,Aberdeenshire,Tree_sparrow,0.7,17,11.5,0.9,14,15.0,-27.6,-3,-23.8
ESRO,Aberdeenshire,Magpie,0.6,18,31.7,0.6,18,32.3,2.9,0,-1.7
ESRO,Aberdeenshire,Feral_pigeon,0.4,19,9.1,0.2,23,7.3,57.3,4,24.4
ESRO,Aberdeenshire,Wren,0.3,20,24.1,0.3,21,19.2,23.0,1,25.7
ESRO,Aberdeenshire,Pheasant,0.2,21,9.9,0.3,20,11.9,-18.2,-1,-17.3
ESRO,Aberdeenshire,Great_spotted_woodpecker,0.2,22,14.5,0.3,22,18.4,-19.0,0,-21.2
ESRO,Aberdeenshire,Rook,0.1,23,3.7,0.1,25,3.9,-14.8,2,-3.9
ESRO,Aberdeenshire,Song_thrush,0.1,24,6.0,0.1,27,8.5,-26.6,3,-29.8
ESRO,Aberdeenshire,Siskin,0.1,25,3.4,0.5,19,14.1,-83.2,-6,-76.0
ESRO,Aberdeenshire,Herring_gull,0.1,26,2.8,0.1,28,3.7,-16.4,2,-23.3
ESRO,Aberdeenshire,Bullfinch,0.1,27,2.9,0.1,30,3.1,8.3,3,-5.3
ESRO,Aberdeenshire,Buzzard,0.0,28,3.7,0.1,31,4.0,-10.8,3,-6.0
ESRO,Aberdeenshire,Treecreeper,0.0,29,4.7,0.0,35,2.8,66.2,6,66.2
ESRO,Aberdeenshire,Sparrowhawk,0.0,30,4.6,0.0,33,3.8,22.5,3,22.5
ESRO,Aberdeenshire,Common_gull,0.0,31,1.0,0.0,32,1.7,-12.4,1,-41.6
ESRO,Aberdeenshire,Jay,0.0,32,2.4,0.0,37,1.5,42.1,5,63.4
ESRO,Aberdeenshire,Yellowhammer,0.0,33,2.1,0.2,24,6.9,-81.8,-9,-70.4
ESRO,Aberdeenshire,Goldcrest,0.0,34,2.1,0.0,40,1.2,104.4,6,85.0
ESRO,Aberdeenshire,Fieldfare,0.0,35,0.9,0.1,29,1.7,-77.0,-6,-48.2
ESRO,Aberdeenshire,Redwing,0.0,36,0.8,0.0,34,0.7,-53.8,-2,17.0
ESRO,Aberdeenshire,Mallard,0.0,37,0.6,0.0,38,0.4,-27.7,1,46.0
ESRO,Aberdeenshire,Hooded_crow,0.0,38,0.8,0.0,46,0.5,180.7,8,63.7
ESRO,Aberdeenshire,Grey_heron,0.0,39,1.0,0.0,45,0.5,110.5,6,110.5
ESRO,Aberdeenshire,Pied_wagtail,0.0,40,0.7,0.0,39,0.6,-22.2,-1,16.7
ESRO,Aberdeenshire,Barn_owl,0.0,41,0.8,0.0,56,0.1,717.7,15,717.7
ESRO,Aberdeenshire,Red_kite,0.0,42,0.7,0.0,41,0.6,-9.2,-1,16.7
ESRO,Aberdeenshire,Blackcap,0.0,43,0.7,0.0,51,0.3,133.9,8,133.9
ESRO,Aberdeenshire,Lesser_spotted_woodpecker,0.0,44,0.7,0.0,42,0.8,-13.1,-2,-13.1
ESRO,Aberdeenshire,Kestrel,0.0,45,0.7,0.0,48,0.4,75.0,3,75.0
ESRO,Aberdeenshire,Stock_dove,0.0,46,0.2,0.0,54,0.1,483.0,8,133.2
ESRO,Aberdeenshire,Red_legged_partridge,0.0,47,0.3,0.0,74,0.0,Inf,27,Inf
ESRO,Aberdeenshire,Redpoll,0.0,48,0.2,0.0,36,1.9,-87.6,-12,-88.4
ESRO,Aberdeenshire,Mistle_thrush,0.0,49,0.2,0.0,47,0.4,-53.2,-2,-41.5
ESRO,Aberdeenshire,Tawny_owl,0.0,50,0.2,0.0,50,0.3,-22.1,0,-22.1
ESRO,Aberdeenshire,Marsh_tit,0.0,51,0.2,0.0,70,0.0,Inf,19,Inf
ESRO,Aberdeenshire,Brambling,0.0,52,0.1,0.1,26,7.2,-99.2,-26,-98.4
ESRO,Aberdeenshire,Moorhen,0.0,53,0.1,0.0,43,0.5,-85.4,-10,-76.6
ESRO,Aberdeenshire,Green_woodpecker,0.0,54,0.1,0.0,65,0.0,Inf,11,Inf
ESRO,Aberdeenshire,Black_redstart,0.0,55,0.0,0.0,59,0.0,NA,4,NA
ESRO,Aberdeenshire,Chiffchaff,0.0,56,0.0,0.0,60,0.0,NA,4,NA
ESRO,Aberdeenshire,Corn_bunting,0.0,57,0.0,0.0,61,0.0,NA,4,NA
ESRO,Aberdeenshire,Gadwall,0.0,58,0.0,0.0,62,0.0,NA,4,NA
ESRO,Aberdeenshire,Great_black_backed_gull,0.0,59,0.0,0.0,63,0.0,NA,4,NA
ESRO,Aberdeenshire,Great_crested_grebe,0.0,60,0.0,0.0,64,0.0,NA,4,NA
ESRO,Aberdeenshire,Grey_partridge,0.0,61,0.0,0.0,66,0.0,NA,5,NA
ESRO,Aberdeenshire,Grey_wagtail,0.0,62,0.0,0.0,53,0.2,-100.0,-9,-100.0
ESRO,Aberdeenshire,Hawfinch,0.0,63,0.0,0.0,80,0.0,NA,17,NA
ESRO,Aberdeenshire,Lapwing,0.0,64,0.0,0.0,67,0.0,NA,3,NA
ESRO,Aberdeenshire,Lesser_black_backed_gull,0.0,65,0.0,0.0,68,0.0,NA,3,NA
ESRO,Aberdeenshire,Linnet,0.0,66,0.0,0.0,52,0.2,-100.0,-14,-100.0
ESRO,Aberdeenshire,Little_owl,0.0,67,0.0,0.0,69,0.0,NA,2,NA
ESRO,Aberdeenshire,Meadow_pipit,0.0,68,0.0,0.0,71,0.0,NA,3,NA
ESRO,Aberdeenshire,Mute_swan,0.0,69,0.0,0.0,72,0.0,NA,3,NA
ESRO,Aberdeenshire,Nuthatch,0.0,70,0.0,0.0,73,0.0,NA,3,NA
ESRO,Aberdeenshire,Raven,0.0,71,0.0,0.0,57,0.1,-100.0,-14,-100.0
ESRO,Aberdeenshire,Reed_bunting,0.0,72,0.0,0.0,49,0.3,-100.0,-23,-100.0
ESRO,Aberdeenshire,Ring_necked_parakeet,0.0,73,0.0,0.0,75,0.0,NA,2,NA
ESRO,Aberdeenshire,Skylark,0.0,74,0.0,0.0,58,0.1,-100.0,-16,-100.0
ESRO,Aberdeenshire,Teal,0.0,75,0.0,0.0,76,0.0,NA,1,NA
ESRO,Aberdeenshire,Tufted_duck,0.0,76,0.0,0.0,77,0.0,NA,1,NA
ESRO,Aberdeenshire,Waxwing,0.0,77,0.0,0.0,55,0.1,-100.0,-22,-100.0
ESRO,Aberdeenshire,Wigeon,0.0,78,0.0,0.0,78,0.0,NA,0,NA
